contract_amount,ejari_property_sub_type_ar,project_name_en,ejari_bus_property_type_ar,property_usage_en,contract_id,ejari_property_sub_type_en,project_name_ar,property_usage_ar,area_id,tenant_type_en,contract_start_date,contract_end_date,nearest_metro_en,ejari_bus_property_type_id,no_of_prop,line_number,nearest_mall_en,nearest_metro_ar,ejari_bus_property_type_en,ejari_property_sub_type_id,nearest_mall_ar,tenant_type_id,annual_amount,contract_reg_type_en,ejari_property_type_en,is_free_hold,master_project_en,contract_reg_type_ar,ejari_property_type_ar,nearest_landmark_en,area_name_en,load_timestamp,nearest_landmark_ar,ejari_property_type_id,area_name_ar,project_number,actual_area,tenant_type_ar,master_project_ar,contract_reg_type_id
"31900","أستوديو","","وحدة","Residential","CNT2129627812","Studio","","سكني","453","Authority","2024-12-01","2025-11-30","","2","1","1","","","Unit","11","","1","31900","Renew","Flat","1","","تجديد","شقه","Dubai Parks and Resorts","Saih Shuaib 2","2025-12-11 23:26:31","دبي باركس اند ريزورتس","842","سيح شعيب 2","null","44","جهة","","2"
"200000","غرفه سكن عمال","","وحدة","Residential","CRT412379006","Room in labor Camp","","سكني","458","Authority","2016-03-10","2026-03-09","UAE Exchange Metro Station","2","235","152","Ibn-e-Battuta Mall","محطة مترو الإمارات العربية المتحدة للصرافة","Unit","12","ابن بطوطة مول","1","20000","New","Labor Camps","1","Dubai Investment Park First","جديد","سكن عمال","Expo 2020 Site","Dubai Investment Park First","2025-12-11 23:26:31","موقع إكسبو 2020","4","مجمع دبي للاستثمار الاول","null","32","جهة","مجمع دبي للاستثمار الاول","1"
"75600","غرفتين و صالة","","وحدة","Residential","CNT2130158049","2 bed rooms+hall","","سكني","443","Person","2025-03-10","2026-03-09","Dubai Internet City","2","1","1","Mall of the Emirates","مدينة دبي للإنترنت","Unit","2","مول الإمارات","0","75600","Renew","Flat","1","Barsha Heights","تجديد","شقه","Burj Al Arab","Al Thanyah First","2025-12-11 23:26:31","برج العرب","842","الثنيه الأولى","null","105","شخص","مرتفعات برشا","2"
"22000","غرفة و صالة","","وحدة","Residential","CRT1400151856","1bed room+Hall","","سكني","343","Authority","2021-03-08","2022-03-07","Rashidiya Metro Station","2","1","1","City Centre Mirdif","محطة مترو الراشدية","Unit","1","سيتي سنتر مردف","1","22000","New","Flat","1","International City Phase 1","جديد","شقه","","Al Warsan First","2025-12-11 23:26:31","","842","ورسان الاولى","null","69","جهة","المدينة العالمية - المرحلة الاولى","1"
"1965600","غرفه سكن عمال","","وحدة افتراضية","Residential","CNT917639177","Room in labor Camp","","سكني","360","Authority","2018-12-01","2019-11-30","Etisalat Metro Station","5","117","48","City Centre Mirdif","محطة مترو اتصالات","Virtual Unit","12","سيتي سنتر مردف","1","1965600","Renew","Labor Camps","0","","تجديد","سكن عمال","Dubai International Airport","Muhaisanah Second","2025-12-11 23:26:31","مطار دبي الدولي","4","محيصنه الثانيه","null","null","جهة","","2"
"90000","غرفة و صالة","MBL RESIDENCE","وحدة","Residential","CRT2011525557","1bed room+Hall","إم بي إل ريزيدينس","سكني","350","Authority","2022-10-15","2023-10-14","Jumeirah Lakes Towers","2","1","1","Marina Mall","أبراج بحيرات جميرا","Unit","1","مارينا مول","1","90000","New","Flat","1","Jumeirah Lakes Towers","جديد","شقه","Sports City Swimming Academy","Al Thanyah Fifth","2025-12-11 23:26:31","أكاديمية المدينة الرياضية للسباحة","842","الثنيه الخامسة","1934","70","جهة"," ابراج بحيرات الجميرا","1"
"56000","غرفتين و صالة","","وحدة","Residential","CNT163172239","2 bed rooms+hall","","سكني","357","Person","2013-10-16","2014-10-15","Airport Free Zone","2","1","1","City Centre Mirdif","المنطقة الحرة بالمطار","Unit","2","سيتي سنتر مردف","0","56000","Renew","Flat","0","","تجديد","شقه","Dubai International Airport","AL TWAR FIFTH","2025-12-11 23:26:31","مطار دبي الدولي","842","الطوار الخامسة","null","93","شخص","","2"
"20000","محل","","وحدة","Commercial","CRT297287456","Shop","","تجاري","343","Authority","2015-08-01","2017-07-31","Rashidiya Metro Station","2","1","1","City Centre Mirdif","محطة مترو الراشدية","Unit","421","سيتي سنتر مردف","1","10000","Renew","Shop","1","International City Phase 1","تجديد","محل","","Al Warsan First","2025-12-11 23:26:31","","1","ورسان الاولى","null","39","جهة","المدينة العالمية - المرحلة الاولى","2"
"200000","ثلاثة غرفة و صالة","","وحدة","Residential","CNT261057514","3 bed rooms+hall","","سكني","329","Person","2015-01-01","2015-12-31","Buj Khalifa Dubai Mall Metro Station","2","1","1","Dubai Mall","محطة مترو بوج خليفة دبي مول","Unit","3","مول دبي","0","200000","Renew","Flat","0","","تجديد","شقه","Burj Khalifa","Trade Center Second","2025-12-11 23:26:31","برج خليفة","842","المركز التجارى الثانيه","null","270","شخص","","2"
"128000","كشك","","وحدة","Commercial","CNT1316519138","Kiosk","","تجاري","254","Authority","2020-09-16","2021-12-15","Al Ras Metro Station","2","1","1","Dubai Mall","محطة مترو الراس","Unit","24","مول دبي","1","102400","Renew","Shop","0","","تجديد","محل","Dubai International Airport","Al Buteen","2025-12-11 23:26:31","مطار دبي الدولي","1","البطين","null","78","جهة","","2"
"35000","مكتب","","وحدة","Commercial","CNT1089666308","Office","","تجاري","368","Authority","2019-09-01","2020-08-31","Sharaf Dg Metro Station","2","1","1","Mall of the Emirates","محطة مترو شرف دي جي","Unit","422","مول الإمارات","1","35000","New","Office","0","","جديد","مكتب","Burj Al Arab","Al Barsha First","2025-12-11 23:26:31","برج العرب","2","البرشاء الاولى","null","14","جهة","","1"
"43000","غرفة و صالة","","وحدة","Residential","CNT344496815","1bed room+Hall","","سكني","249","Person","2015-09-05","2016-09-04","Salah Al Din Metro Station","2","1","1","Dubai Mall","محطة مترو صلاح الدين","Unit","1","مول دبي","0","43000","Renew","Flat","0","","تجديد","شقه","Dubai International Airport","Al Muteena","2025-12-11 23:26:31","مطار دبي الدولي","842","المطينه","null","349","شخص","","2"
"237500","مستودع","","وحدة افتراضية","Commercial","CNT1533613848","Warehouse","","تجاري","373","Authority","2021-07-01","2022-06-30","First Abu Dhabi Bank Metro Station","5","1","1","Mall of the Emirates","محطة مترو بنك أبوظبي الأول","Virtual Unit","13","مول الإمارات","1","237500","Renew","Warehouse","0","","تجديد","مستودع","Burj Al Arab","Al Goze Industrial Fourth","2025-12-11 23:26:31","برج العرب","7","القوز الصناعيه الرابعه","null","null","جهة","","2"
"130000","ثلاثة غرفة و صالة","","وحدة","Residential","CNT463381330","3 bed rooms+hall","","سكني","364","Person","2016-06-01","2017-05-31","Business Bay Metro Station","2","1","1","Dubai Mall","محطة مترو الخليج التجاري","Unit","3","مول دبي","0","130000","New","Flat","0","","جديد","شقه","Burj Khalifa","Al Wasl","2025-12-11 23:26:31","برج خليفة","842","الوصل","null","169","شخص","","1"
"378255","محل","","وحدة","Commercial","CNT2129113207","Shop","","تجاري","326","Authority","2025-01-05","2028-01-04","Healthcare City Metro Station","2","1","1","Dubai Mall","محطة مترو مدينة الرعاية الصحية","Unit","421","مول دبي","1","126085","Renew","Shop","0","","تجديد","محل","Dubai International Airport","Um Hurair Second","2025-12-11 23:26:31","مطار دبي الدولي","1","ام هرير الثانيه","null","40","جهة","","2"
"321000","غرفه سكن عمال","","وحدة افتراضية","Residential","CNT2080080653","Room in labor Camp","","سكني","308","Authority","2023-03-10","2024-04-09","First Abu Dhabi Bank Metro Station","5","30","8","Mall of the Emirates","محطة مترو بنك أبوظبي الأول","Virtual Unit","12","مول الإمارات","1","296308","New","Labor Camps","0","","جديد","سكن عمال","Burj Al Arab","Al Goze Industrial First","2025-12-11 23:26:31","برج العرب","4","القوز الصناعيه الاولى","null","null","جهة","","1"
"72000","غرفه سكن عمال","","وحدة","Residential","CNT2133052558","Room in labor Camp","","سكني","347","Authority","2025-10-16","2026-10-15","Noor Bank Metro Station","2","2","1","Dubai Mall","محطة مترو نور بنك","Unit","12","مول دبي","1","72000","New","Labor Camps","0","","جديد","سكن عمال","Downtown Dubai","Al Goze Third","2025-12-11 23:26:31","وسط مدينة دبي","4","القوز الثالثه","null","13","جهة","","1"
"219000","اربعة غرف و صالة","","فيلا","Residential","CRT291659816","4 bed rooms+hall","","سكني","458","","2015-03-01","2016-02-29","DANUBE Metro Station","4","1","1","Ibn-e-Battuta Mall","محطة مترو الدانوب","Villa","4","ابن بطوطة مول","null","219000","New","Villa","1","Dubai Investment Park First","جديد","فيلا","Expo 2020 Site","Dubai Investment Park First","2025-12-11 23:26:31","موقع إكسبو 2020","841","مجمع دبي للاستثمار الاول","null","840","","مجمع دبي للاستثمار الاول","1"
"85300","غرفتين و صالة","","وحدة","Residential","CRT700398196","2 bed rooms+hall","","سكني","368","Authority","2017-08-11","2018-08-10","Sharaf Dg Metro Station","2","1","1","Mall of the Emirates","محطة مترو شرف دي جي","Unit","2","مول الإمارات","1","85300","Renew","Flat","0","","تجديد","شقه","Burj Al Arab","Al Barsha First","2025-12-11 23:26:31","برج العرب","842","البرشاء الاولى","null","null","جهة","","2"
"46000","مكتب","","وحدة افتراضية","Commercial","CNT2128131451","Office","","تجاري","368","Authority","2025-01-18","2026-01-17","Sharaf Dg Metro Station","5","1","1","Mall of the Emirates","محطة مترو شرف دي جي","Virtual Unit","422","مول الإمارات","1","46000","New","Office","0","","جديد","مكتب","Burj Al Arab","Al Barsha First","2025-12-11 23:26:31","برج العرب","2","البرشاء الاولى","null","null","جهة","","1"
"72600","غرفة و صالة","SOBHA HARTLAND GREENS PHASE II","وحدة","Residential","CRT2083700606","1bed room+Hall","II شوبا هارتلاند جرينز فيس ","سكني","412","Authority","2023-06-15","2024-06-14","","2","1","1","","","Unit","1","","1","72600","Renew","Flat","1","SOBHA HARTLAND","تجديد","شقه","","Al Merkadh","2025-12-11 23:26:31","","842","المركاض","1798","80","جهة","شوبها هارتلاند","2"
"75476","","","أرض","Multi Usage","CNT761545925","","","متعدد الاستخدامات","321","Person","2018-02-01","2019-01-31","Airport Free Zone","0","1","1","City Centre Mirdif","المنطقة الحرة بالمطار","Land","null","سيتي سنتر مردف","0","75476","Renew","","0","","تجديد","","Dubai International Airport","Al Qusais Industrial Third","2025-12-11 23:26:31","مطار دبي الدولي","null","القصيص الصناعيه الثالثه","null","1719","شخص","","2"
"25300","أستوديو","LAGO VISTA","وحدة","Residential","CNT2133793097","Studio","لاغو فيستا","سكني","485","Person","2025-12-01","2026-11-30","Damac Properties","2","1","1","Marina Mall","عقارات داماك","Unit","11","مارينا مول","0","25300","Renew","Flat","1","International Media Production Zone","تجديد","شقه","Sports City Swimming Academy","Me'Aisem First","2025-12-11 23:26:31","أكاديمية المدينة الرياضية للسباحة","842","معيصم الأول","439","46","شخص","المنطقة العالمية للإنتاج الإعلامي","2"
"40000","غرفة و صالة","","وحدة","Residential","CNT2068440108","1bed room+Hall","","سكني","301","Person","2023-03-01","2024-02-29","Al Nahda Metro Station","2","1","1","City Centre Mirdif","محطة مترو النهضة","Unit","1","سيتي سنتر مردف","0","40000","New","Flat","0","","جديد","شقه","Dubai International Airport","Al Nahda Second","2025-12-11 23:26:31","مطار دبي الدولي","842","النهده الثانيه","null","62","شخص","","1"
"34000","غرفة و صالة","SILICON GATE 1","وحدة","Residential","CNT1567646882","1bed room+Hall","بوابة السيليكون 1","سكني","484","Person","2021-10-01","2022-09-30","","2","1","1","","","Unit","1","","0","34000","Renew","Flat","1","Silicon Oasis","تجديد","شقه","IMG World Adventures","Nadd Hessa","2025-12-11 23:26:31","آي إم جي وورلد أدفينتشرز","842","ند حصة","774","80","شخص","واحة السيليكون","2"
"1092500","Hotel","","وحدة","Commercial","CRT2106813986","Hotel","","تجاري","362","","2024-01-01","2024-12-31","Baniyas Square Metro Station","2","45","41","Dubai Mall","محطة مترو ميدان بني ياس","Unit","521","مول دبي","null","1092500","Renew","Hotel","0","","تجديد","فندق","Dubai International Airport","Naif","2025-12-11 23:26:31","مطار دبي الدولي","24","نايف","null","22","","","2"
"35000","غرفتين و صالة","","وحدة","Residential","CNT1246526762","2 bed rooms+hall","","سكني","361","Person","2020-07-08","2021-07-07","Etisalat Metro Station","2","1","1","City Centre Mirdif","محطة مترو اتصالات","Unit","2","سيتي سنتر مردف","0","35000","Renew","Flat","0","","تجديد","شقه","Dubai International Airport","Muhaisanah Fourth","2025-12-11 23:26:31","مطار دبي الدولي","842","محيصنه الرابعه","null","102","شخص","","2"
"175680","غرفه سكن عمال","","وحدة افتراضية","Residential","CNT915610073","Room in labor Camp","","سكني","395","Authority","2018-11-15","2019-11-14","DANUBE Metro Station","5","4","4","Ibn-e-Battuta Mall","محطة مترو الدانوب","Virtual Unit","12","ابن بطوطة مول","1","175680","Renew","Labor Camps","0","","تجديد","سكن عمال","Expo 2020 Site","Jabal Ali Industrial First","2025-12-11 23:26:31","موقع إكسبو 2020","4","جبل على الصناعية الأولى","null","null","جهة","","2"
"25000","أستوديو","","وحدة","Residential","CRT739447966","Studio","","سكني","343","Person","2018-01-01","2018-12-31","Rashidiya Metro Station","2","1","1","City Centre Mirdif","محطة مترو الراشدية","Unit","11","سيتي سنتر مردف","0","25000","New","Flat","1","International City Phase 1","جديد","شقه","","Al Warsan First","2025-12-11 23:26:31","","842","ورسان الاولى","null","45","شخص","المدينة العالمية - المرحلة الاولى","1"
"155000","مكتب","","وحدة","Commercial","CNT830951761","Office","","تجاري","255","Authority","2018-07-16","2019-07-15","Al Rigga Metro Station","2","2","2","Dubai Mall","محطة مترو الرقة","Unit","422","مول دبي","1","155000","Renew","Office","0","","تجديد","مكتب","Dubai International Airport","Rega Al Buteen","2025-12-11 23:26:31","مطار دبي الدولي","2","رقه البطين","null","77","جهة","","2"
"24000","مكتب","","وحدة","Commercial","CNT1188961318","Office","","تجاري","240","Authority","2020-03-11","2021-03-10","Deira City Centre","2","1","1","Dubai Mall","ديرة سيتي سنتر","Unit","422","مول دبي","1","24000","New","Office","0","","جديد","مكتب","Dubai International Airport","Port Saeed","2025-12-11 23:26:31","مطار دبي الدولي","2","بور سعيد","null","116","جهة","","1"
"105000","مكتب","","وحدة","Commercial","CNT2128701269","Office","","تجاري","356","Authority","2025-02-01","2026-01-31","Baniyas Square Metro Station","2","2","2","Dubai Mall","محطة مترو ميدان بني ياس","Unit","422","مول دبي","1","105000","Renew","Office","0","","تجديد","مكتب","Dubai International Airport","Al Rega","2025-12-11 23:26:31","مطار دبي الدولي","2","الرقه","null","72","جهة","","2"
"35800","محل","","وحدة","Commercial","CNT721550066","Shop","","تجاري","343","Authority","2017-11-15","2018-11-14","Rashidiya Metro Station","2","1","1","City Centre Mirdif","محطة مترو الراشدية","Unit","421","سيتي سنتر مردف","1","35800","Renew","Shop","1","International City Phase 1","تجديد","محل","","Al Warsan First","2025-12-11 23:26:31","","1","ورسان الاولى","null","48","جهة","المدينة العالمية - المرحلة الاولى","2"
"25000","أستوديو","","وحدة","Residential","CNT2082346070","Studio","","سكني","362","Person","2023-06-01","2024-05-31","Baniyas Square Metro Station","2","1","1","Dubai Mall","محطة مترو ميدان بني ياس","Unit","11","مول دبي","0","25000","New","Flat","0","","جديد","شقه","Dubai International Airport","Naif","2025-12-11 23:26:31","مطار دبي الدولي","842","نايف","null","25","شخص","","1"
"2967529","غرفه سكن عمال","","وحدة","Residential","CNT1268868815","Room in labor Camp","","سكني","395","Authority","2020-03-15","2020-12-14","DANUBE Metro Station","2","198","33","Ibn-e-Battuta Mall","محطة مترو الدانوب","Unit","12","ابن بطوطة مول","1","3956706","New","Labor Camps","0","","جديد","سكن عمال","Expo 2020 Site","Jabal Ali Industrial First","2025-12-11 23:26:31","موقع إكسبو 2020","4","جبل على الصناعية الأولى","null","14","جهة","","1"
"10000","مكتب","","وحدة افتراضية","Commercial","CNT2125686086","Office","","تجاري","341","Authority","2024-12-22","2025-12-21","Financial Centre","5","1","1","Dubai Mall","المركز المالي","Virtual Unit","422","مول دبي","1","10000","Renew","Office","0","","تجديد","مكتب","Burj Khalifa","Trade Center First","2025-12-11 23:26:31","برج خليفة","2","المركز التجارى الاولى","null","null","جهة","","2"
"45000","غرفة و صالة","The Pulse Residence","وحدة","Residential","CRT2106314406","1bed room+Hall","النبض المساكن","سكني","462","Authority","2024-01-20","2025-01-19","","2","1","1","","","Unit","1","","1","45000","New","Flat","1","Dubai South Residential District","جديد","شقه","Expo 2020 Site","Madinat Al Mataar","2025-12-11 23:26:31","موقع إكسبو 2020","842","مدينة المطار","1805","67","جهة","المدينة السكنية بدبي الجنوب","1"
"75000","غرفة و صالة","","وحدة","Residential","CNT561852233","1bed room+Hall","","سكني","356","Person","2017-02-10","2018-02-09","Union Metro Station","2","1","1","Dubai Mall","محطة مترو الاتحاد","Unit","1","مول دبي","0","75000","New","Flat","0","","جديد","شقه","Dubai International Airport","Al Rega","2025-12-11 23:26:31","مطار دبي الدولي","842","الرقه","null","85","شخص","","1"
"140000","مطعم","","وحدة","Commercial","CNT391484412","Restaurant","","تجاري","458","Authority","2016-01-01","2017-02-28","UAE Exchange Metro Station","2","1","1","Ibn-e-Battuta Mall","محطة مترو الإمارات العربية المتحدة للصرافة","Unit","29","ابن بطوطة مول","1","120000","New","Shop","1","Dubai Investment Park First","جديد","محل","Expo 2020 Site","Dubai Investment Park First","2025-12-11 23:26:31","موقع إكسبو 2020","1","مجمع دبي للاستثمار الاول","null","37","جهة","مجمع دبي للاستثمار الاول","1"
"129600","غرفه سكن عمال","","وحدة","Residential","CNT2130442440","Room in labor Camp","","سكني","395","Authority","2025-02-19","2026-02-18","DANUBE Metro Station","2","6","1","Ibn-e-Battuta Mall","محطة مترو الدانوب","Unit","12","ابن بطوطة مول","1","129600","Renew","Labor Camps","0","","تجديد","سكن عمال","Expo 2020 Site","Jabal Ali Industrial First","2025-12-11 23:26:31","موقع إكسبو 2020","4","جبل على الصناعية الأولى","null","21","جهة","","2"
"360000","غرفه سكن عمال","","وحدة افتراضية","Residential","CNT2131394217","Room in labor Camp","","سكني","372","Authority","2025-03-01","2026-02-28","Noor Bank Metro Station","5","15","15","Mall of the Emirates","محطة مترو نور بنك","Virtual Unit","12","مول الإمارات","1","360000","New","Labor Camps","0","","جديد","سكن عمال","Burj Al Arab","Al Goze Industrial Second","2025-12-11 23:26:31","برج العرب","4","القوز الصناعيه الثانيه","null","null","جهة","","1"
"37000","غرفة و صالة","","وحدة","Residential","CNT1805843187","1bed room+Hall","","سكني","483","Person","2022-01-01","2022-12-31","Rashidiya Metro Station","2","1","1","City Centre Mirdif","محطة مترو الراشدية","Unit","1","سيتي سنتر مردف","0","37000","New","Flat","1","International City Phase 3","جديد","شقه","","Warsan Fourth","2025-12-11 23:26:31","","842","ورسان الرابعة","null","103","شخص","المدينة العالمية - المرحلة الثالثة","1"
"100000","ثلاثة غرفة و صالة","","وحدة","Residential","CNT709828366","3 bed rooms+hall","","سكني","244","Person","2017-10-12","2018-10-11","Al Rigga Metro Station","2","1","1","Dubai Mall","محطة مترو الرقة","Unit","3","مول دبي","0","100000","Renew","Flat","0","","تجديد","شقه","Dubai International Airport","Al Murqabat","2025-12-11 23:26:31","مطار دبي الدولي","842","المرقبات","null","192","شخص","","2"
"250000","ثلاثة غرفة و صالة","","فيلا","Residential","CRT306433946","3 bed rooms+hall","","سكني","434","","2014-10-20","2015-10-19","","4","1","1","","","Villa","3","","null","250000","New","Villa","1","Arabian Ranches - 1","جديد","فيلا","Motor City","Wadi Al Safa 6","2025-12-11 23:26:31","موتور سيتي","841","وادي الصفا 6","null","721","","المرابع العربية - 1","1"
"139200","غرفه سكن عمال","","وحدة افتراضية","Residential","CNT416018340","Room in labor Camp","","سكني","373","Authority","2016-03-03","2017-03-02","First Abu Dhabi Bank Metro Station","5","7","1","Mall of the Emirates","محطة مترو بنك أبوظبي الأول","Virtual Unit","12","مول الإمارات","1","139200","Renew","Labor Camps","0","","تجديد","سكن عمال","Burj Al Arab","Al Goze Industrial Fourth","2025-12-11 23:26:31","برج العرب","4","القوز الصناعيه الرابعه","null","null","جهة","","2"
"25000","أستوديو","","وحدة","Residential","CNT2123658366","Studio","","سكني","339","Person","2025-01-01","2025-12-31","Salah Al Din Metro Station","2","1","1","Dubai Mall","محطة مترو صلاح الدين","Unit","11","مول دبي","0","25000","Renew","Flat","0","","تجديد","شقه","Dubai International Airport","Al Mararr","2025-12-11 23:26:31","مطار دبي الدولي","842","المرر","null","37","شخص","","2"
"23000","أستوديو","","وحدة","Residential","CNT131869686","Studio","","سكني","239","Person","2013-05-01","2014-04-30","Salah Al Din Metro Station","2","1","1","Dubai Mall","محطة مترو صلاح الدين","Unit","11","مول دبي","0","23000","Renew","Flat","0","","تجديد","شقه","Dubai International Airport","Al Baraha","2025-12-11 23:26:31","مطار دبي الدولي","842","البراحه","null","111","شخص","","2"
"110000","ثلاثة غرفة و صالة","","وحدة","Residential","CNT1338301841","3 bed rooms+hall","","سكني","388","Person","2021-01-10","2022-01-09","Healthcare City Metro Station","2","1","1","Dubai Mall","محطة مترو مدينة الرعاية الصحية","Unit","3","مول دبي","0","110000","Renew","Flat","0","","تجديد","شقه","Dubai International Airport","Oud Metha","2025-12-11 23:26:31","مطار دبي الدولي","842","عود ميثا","null","223","شخص","","2"
"10000","مكتب","SCHON BUSINESS PARK","وحدة افتراضية","Commercial","CNT2121404719","Office","شون بيزنس بارك","تجاري","458","Authority","2024-08-15","2025-08-14","DANUBE Metro Station","5","1","1","Ibn-e-Battuta Mall","محطة مترو الدانوب","Virtual Unit","422","ابن بطوطة مول","1","10000","New","Office","1","","جديد","مكتب","Expo 2020 Site","Dubai Investment Park First","2025-12-11 23:26:31","موقع إكسبو 2020","2","مجمع دبي للاستثمار الاول","615","null","جهة","","1"
"140000","أستوديو","","وحدة","Residential","CNT898900386","Studio","","سكني","338","Authority","2019-01-01","2019-12-31","","2","3","2","","","Unit","11","","1","140000","Renew","Flat","0","","تجديد","شقه","","Al Goze First","2025-12-11 23:26:31","","842","القوز الاولى","null","55","جهة","","2"
"248040","مكتب","","وحدة","Commercial","CNT201519474","Office","","تجاري","341","Person","2013-06-20","2014-06-19","Trade Centre Metro Station","2","1","1","Dubai Mall","محطة مترو المركز التجاري","Unit","422","مول دبي","0","248040","New","Office","0","","جديد","مكتب","Burj Khalifa","Trade Center First","2025-12-11 23:26:31","برج خليفة","2","المركز التجارى الاولى","null","109","شخص","","1"
"15000","مكتب","","وحدة افتراضية","Commercial","CNT2129618609","Office","","تجاري","244","Authority","2025-02-13","2026-02-12","Al Rigga Metro Station","5","1","1","Dubai Mall","محطة مترو الرقة","Virtual Unit","422","مول دبي","1","15000","New","Office","0","","جديد","مكتب","Dubai International Airport","Al Murqabat","2025-12-11 23:26:31","مطار دبي الدولي","2","المرقبات","null","null","جهة","","1"
"48000","غرفة و صالة","","وحدة","Residential","CNT1404497171","1bed room+Hall","","سكني","388","Person","2021-02-20","2022-03-19","Oud Metha Metro Station","2","1","1","Dubai Mall","محطة مترو عود ميثاء","Unit","1","مول دبي","0","48000","Renew","Flat","0","","تجديد","شقه","Dubai International Airport","Oud Metha","2025-12-11 23:26:31","مطار دبي الدولي","842","عود ميثا","null","56","شخص","","2"
"48000","غرفة و صالة","","وحدة","Residential","CNT2133768689","1bed room+Hall","","سكني","357","Person","2026-02-01","2027-01-31","Airport Free Zone","2","1","1","City Centre Mirdif","المنطقة الحرة بالمطار","Unit","1","سيتي سنتر مردف","0","48000","Renew","Flat","0","","تجديد","شقه","Dubai International Airport","AL TWAR FIFTH","2025-12-11 23:26:31","مطار دبي الدولي","842","الطوار الخامسة","null","70","شخص","","2"
"800000","محل","","وحدة","Commercial","CNT2097590881","Shop","","تجاري","305","Authority","2023-10-10","2024-10-09","Airport Free Zone","2","10","6","City Centre Mirdif","المنطقة الحرة بالمطار","Unit","421","سيتي سنتر مردف","1","800000","New","Shop","0","","جديد","محل","Dubai International Airport","AL QUSAIS","2025-12-11 23:26:31","مطار دبي الدولي","1","القصيص","null","33","جهة","","1"
"151428","محل","","وحدة","Commercial","CNT2130123369","Shop","","تجاري","484","Authority","2024-07-01","2025-09-30","","2","1","1","","","Unit","421","","1","151428","New","Shop","1","Silicon Oasis","جديد","محل","","Nadd Hessa","2025-12-11 23:26:31","","1","ند حصة","null","81","جهة","واحة السيليكون","1"
"21500","مكتب","","وحدة افتراضية","Commercial","CNT2131759253","Office","","تجاري","278","Authority","2025-07-08","2026-07-07","Burjuman Metro Station","5","1","1","Dubai Mall","محطة مترو برجمان","Virtual Unit","422","مول دبي","1","21500","New","Office","0","","جديد","مكتب","Dubai International Airport","Mankhool","2025-12-11 23:26:31","مطار دبي الدولي","2","منخول","null","null","جهة","","1"
"76835","غرفتين و صالة","","وحدة","Residential","CNT310424161","2 bed rooms+hall","","سكني","232","Person","2015-08-01","2016-07-31","Rashidiya Metro Station","2","1","1","City Centre Mirdif","محطة مترو الراشدية","Unit","2","سيتي سنتر مردف","0","76835","Renew","Flat","1","","تجديد","شقه","Dubai International Airport","Mirdif","2025-12-11 23:26:31","مطار دبي الدولي","842","مردف","null","150","شخص","","2"
"130000","غرفتين و صالة","GOLD CREST VIEWS2","وحدة","Residential","CRT245276756","2 bed rooms+hall"," جولد كريست فيو 2","سكني","350","","2014-09-15","2015-09-14","Jumeirah Lakes Towers","2","1","1","Marina Mall","أبراج بحيرات جميرا","Unit","2","مارينا مول","null","130000","New","Flat","1","Jumeirah Lakes Towers","جديد","شقه","Sports City Swimming Academy","Al Thanyah Fifth","2025-12-11 23:26:31","أكاديمية المدينة الرياضية للسباحة","842","الثنيه الخامسة","150","101",""," ابراج بحيرات الجميرا","1"
"120000","اربعة غرف و صالة","","فيلا","Residential","CRT1963501026","4 bed rooms+hall","","سكني","441","Person","2022-07-23","2023-07-22","Dubai Internet City","4","1","1","Mall of the Emirates","مدينة دبي للإنترنت","Villa","4","مول الإمارات","0","120000","Renew","Villa","1","Jumeirah Village Circle","تجديد","فيلا","Sports City Swimming Academy","Al Barsha South Fourth","2025-12-11 23:26:31","أكاديمية المدينة الرياضية للسباحة","841","البرشاء جنوب الرابعة","null","301","شخص","قرية جميرا الدائرية","2"
"90000","غرفتين و صالة","","وحدة","Residential","CNT2102541150","2 bed rooms+hall","","سكني","443","Person","2023-11-01","2024-10-31","Dubai Internet City","2","1","1","Mall of the Emirates","مدينة دبي للإنترنت","Unit","2","مول الإمارات","0","90000","Renew","Flat","1","Barsha Heights","تجديد","شقه","Burj Al Arab","Al Thanyah First","2025-12-11 23:26:31","برج العرب","842","الثنيه الأولى","null","155","شخص","مرتفعات برشا","2"
"82000","غرفتين و صالة","","وحدة","Residential","CNT2071874972","2 bed rooms+hall","","سكني","368","Person","2023-03-01","2024-02-28","First Abu Dhabi Bank Metro Station","2","1","1","Mall of the Emirates","محطة مترو بنك أبوظبي الأول","Unit","2","مول الإمارات","0","82236","New","Flat","0","","جديد","شقه","Burj Al Arab","Al Barsha First","2025-12-11 23:26:31","برج العرب","842","البرشاء الاولى","null","108","شخص","","1"
"120000","مستودع","","وحدة افتراضية","Commercial","CNT1891196342","Warehouse","","تجاري","373","Authority","2022-04-01","2023-03-31","First Abu Dhabi Bank Metro Station","5","1","1","Mall of the Emirates","محطة مترو بنك أبوظبي الأول","Virtual Unit","13","مول الإمارات","1","120000","Renew","Warehouse","0","","تجديد","مستودع","Burj Al Arab","Al Goze Industrial Fourth","2025-12-11 23:26:31","برج العرب","7","القوز الصناعيه الرابعه","null","null","جهة","","2"
