procedure_name_en,project_name_en,building_name_ar,actual_worth,property_usage_en,reg_type_id,procedure_id,property_sub_type_id,procedure_area,procedure_name_ar,instance_date,project_name_ar,building_name_en,property_usage_ar,area_id,property_type_id,nearest_metro_en,has_parking,meter_sale_price,trans_group_ar,nearest_mall_en,no_of_parties_role_3,nearest_metro_ar,no_of_parties_role_2,no_of_parties_role_1,trans_group_en,nearest_mall_ar,transaction_id,rooms_ar,meter_rent_price,property_type_en,master_project_en,nearest_landmark_en,rooms_en,area_name_en,property_type_ar,trans_group_id,load_timestamp,nearest_landmark_ar,area_name_ar,reg_type_en,property_sub_type_en,project_number,rent_value,reg_type_ar,property_sub_type_ar,master_project_ar
"Delayed Sell","null","جولد كريست فيوز","272450","Residential","1","41","60","42.66","بيع مبدئى","2012-03-29","null","Goldcrest Views","سكني","350","3","Damac Properties","1","6386.54","مبايعات","Marina Mall","0","عقارات داماك","2","1","Sales","مارينا مول","1-41-2011-1593","استوديو","null","Unit","Jumeirah Lakes Towers","Burj Al Arab","Studio","Al Thanyah Fifth","وحدة","1","2026-02-26 10:09:51","برج العرب","الثنيه الخامسة","Existing Properties","Flat","null","null","العقارات القائمة","شقه سكنيه"," ابراج بحيرات الجميرا"
"Mortgage Registration","null","null","500000","Residential","1","13","null","1393.64","تسجيل رهن","2013-04-01","null","null","سكني","406","4","null","0","358.77","رهون","null","0","null","1","1","Mortgages","null","2-13-2013-1831","null","null","Villa","null","IMG World Adventures","null","Nad Al Shiba Fourth","فيلا","2","2026-02-26 10:09:51","آي إم جي وورلد أدفينتشرز","ند الشبا الرابعه","Existing Properties","null","null","null","العقارات القائمة","null","null"
"Sell - Pre registration","Luxur Tower By Imtiaz","برج الأقصر من امتياز","1058663","Residential","0","102","60","75.36","بيع - تسجيل مبدئى","2024-09-06","برج لكسورمن امتياز","LUXOR TOWER BY IMTIAZ","سكني","441","3","Nakheel Metro Station","1","14048.09","مبايعات","Marina Mall","0","محطة مترو النخيل","2","1","Sales","مارينا مول","1-102-2024-68692","غرفة","null","Unit","Jumeirah Village Circle","Sports City Swimming Academy","1 B/R","Al Barsha South Fourth","وحدة","1","2026-02-26 10:09:51","أكاديمية المدينة الرياضية للسباحة","البرشاء جنوب الرابعة","Off-Plan Properties","Flat","2770","null","على الخارطة","شقه سكنيه","قرية جميرا الدائرية"
"Mortgage Registration","PALLADIUM","بلاديوم","1400000","Residential","1","13","60","110.28","تسجيل رهن","2012-02-16","البلاديوم","  PALLADIUM","سكني","350","3","Jumeirah Lakes Towers","1","12694.96","رهون","Marina Mall","0","أبراج بحيرات جميرا","1","1","Mortgages","مارينا مول","2-13-2012-508","غرفتين","null","Unit","Jumeirah Lakes Towers","Sports City Swimming Academy","2 B/R","Al Thanyah Fifth","وحدة","2","2026-02-26 10:09:51","أكاديمية المدينة الرياضية للسباحة","الثنيه الخامسة","Existing Properties","Flat","86","null","العقارات القائمة","شقه سكنيه"," ابراج بحيرات الجميرا"
"Sell - Pre registration","ELITE 9 SPORTS RESIDENCE","ايليت 9  سبورت ريزيدنس","760000","Residential","0","102","60","75.96","بيع - تسجيل مبدئى","2016-08-11","إيليت 9 سبورت ريزيدنس","Elite 9 Sports Residence","سكني","435","3","Nakheel Metro Station","1","10005.27","مبايعات","Marina Mall","0","محطة مترو النخيل","1","1","Sales","مارينا مول","1-102-2016-11333","غرفة","null","Unit","Dubai Sports City","Sports City Swimming Academy","1 B/R","Al Hebiah Fourth","وحدة","1","2026-02-26 10:09:51","أكاديمية المدينة الرياضية للسباحة","الحبيه الرابعة","Off-Plan Properties","Flat","1542","null","على الخارطة","شقه سكنيه","مدينة دبي الرياضية"
"Mortgage Registration","null","null","500000","Residential","1","13","null","1137.13","تسجيل رهن","2010-06-02","null","null","سكني","403","4","Etisalat Metro Station","0","439.7","رهون","City Centre Mirdif","0","محطة مترو اتصالات","1","1","Mortgages","سيتي سنتر مردف","2-13-2010-2818","null","null","Villa","null","null","null","Al Mizhar Third","فيلا","2","2026-02-26 10:09:51","null","المزهر الثالثة","Existing Properties","null","null","null","العقارات القائمة","null","null"
"Sell","null","null","2800000","Commercial","1","11","null","622.37","بيع","2008-03-27","null","null","تجاري","410","1","null","0","4498.93","مبايعات","null","0","null","2","1","Sales","null","1-11-2008-1400","null","null","Land","null","null","null","Palm Jumeirah","أرض","1","2026-02-26 10:09:51","null","نخلة جميرا","Existing Properties","null","null","null","العقارات القائمة","null","null"
"Mortgage Registration","DD STAND POINT","ب د ستاند بوينت ب","1485120","Residential","1","13","60","105.94","تسجيل رهن","2024-02-16","د د ستاند بوينت","BD Standpoint B","سكني","390","3","Buj Khalifa Dubai Mall Metro Station","1","14018.5","رهون","Dubai Mall","0","محطة مترو بوج خليفة دبي مول","1","1","Mortgages","مول دبي","2-13-2024-3391","غرفة","null","Unit","DownTown Dubai","Burj Khalifa","1 B/R","Burj Khalifa","وحدة","2","2026-02-26 10:09:51","برج خليفة","برج خليفة","Existing Properties","Flat","1277","null","العقارات القائمة","شقه سكنيه","داون تاون دبي"
"Sell - Pre registration","Parkside","null","1064888","Residential","0","102","4","139.44","بيع - تسجيل مبدئى","2019-07-22","بارك سايد","null","سكني","462","4","null","0","7636.89","مبايعات","null","0","null","1","1","Sales","null","1-102-2019-11215","ثلاث غرف","null","Villa","Dubai World Central","Al Makhtoum International Airport","3 B/R","Madinat Al Mataar","فيلا","1","2026-02-26 10:09:51","مطار آل مكتوم الدولي","مدينة المطار","Off-Plan Properties","Villa","2102","null","على الخارطة","فيلا","دبي ورلد سنترال"
"Sell","null","الالكا1","1520000","Residential","1","11","60","103.6","بيع","2013-02-21","null","AL ALKA 1","سكني","351","3","Dubai Internet City","1","14671.81","مبايعات","Marina Mall","0","مدينة دبي للإنترنت","1","1","Sales","مارينا مول","1-11-2013-5415","غرفتين","null","Unit","The Greens","Burj Al Arab","2 B/R","Al Thanyah Third","وحدة","1","2026-02-26 10:09:51","برج العرب","الثنيه الثالثة","Existing Properties","Flat","null","null","العقارات القائمة","شقه سكنيه","الروضة"
"Sell","SEVENTH HEAVEN","سفنث هيفن","5768000","Residential","1","11","60","649.91","بيع","2021-12-07","سفنث هفن","SEVENTH HEAVEN","سكني","465","3","null","1","8875.08","مبايعات","null","0","null","1","1","Sales","null","1-11-2021-21847","ثلاث غرف","null","Unit","Al Barari","IMG World Adventures","3 B/R","Wadi Al Safa 3","وحدة","1","2026-02-26 10:09:51","آي إم جي وورلد أدفينتشرز","وادي الصفا 3","Existing Properties","Flat","1482","null","العقارات القائمة","شقه سكنيه","البراري"
"Sell - Pre registration","Al Habtoor Tower","برج الحبتور","3686595","Residential","0","102","60","136.39","بيع - تسجيل مبدئى","2025-03-04","برج الحبتور","Al Habtoor Tower","سكني","526","3","Business Bay Metro Station","1","27029.8","مبايعات","Dubai Mall","0","محطة مترو الخليج التجاري","2","1","Sales","مول دبي","1-102-2025-17777","غرفتين","null","Unit","null","Downtown Dubai","2 B/R","Business Bay","وحدة","1","2026-02-26 10:09:51","وسط مدينة دبي","الخليج التجارى","Off-Plan Properties","Flat","2656","null","على الخارطة","شقه سكنيه","null"
"Sell - Pre registration","Sobha Orbis","شوبا أوربيس تاور بي","990396","Residential","0","102","60","50.28","بيع - تسجيل مبدئى","2024-09-30","شوبا أوربيس","Sobha Orbis Tower B","سكني","444","3","Sharaf Dg Metro Station","1","19697.61","مبايعات","Mall of the Emirates","0","محطة مترو شرف دي جي","1","1","Sales","مول الإمارات","1-102-2024-78384","غرفة","null","Unit","Motor City","Motor City","1 B/R","Al Hebiah First","وحدة","1","2026-02-26 10:09:51","موتور سيتي","الحبيه الاولى","Off-Plan Properties","Flat","3070","null","على الخارطة","شقه سكنيه","موتور ستي"
"Grant Pre-Registration","GRAND VIEWS","null","8964000","Residential","0","120","4","307.8","هبه - تسجيل مبدئى","2019-07-09","جاردن فيوز","null","سكني","335","4","Business Bay Metro Station","0","29122.81","هبات","Dubai Mall","0","محطة مترو الخليج التجاري","1","1","Gifts","مول دبي","3-120-2019-65","أربع غرف","null","Villa","null","Downtown Dubai","4 B/R","Nad Al Shiba First","فيلا","3","2026-02-26 10:09:51","وسط مدينة دبي","ند الشبا الاولى","Off-Plan Properties","Villa","1601","null","على الخارطة","فيلا","null"
"Sell","null","null","1250000","Residential","1","11","4","172.55","بيع","2019-10-24","null","null","سكني","434","4","null","0","7244.28","مبايعات","null","0","null","2","1","Sales","null","1-11-2019-9683","غرفتين","null","Villa","Arabian Ranches - 1","Global Village","2 B/R","Wadi Al Safa 6","فيلا","1","2026-02-26 10:09:51","قرية عالمية","وادي الصفا 6","Existing Properties","Villa","null","null","العقارات القائمة","فيلا","المرابع العربية - 1"
"Sell","LAKE VIEW","ليك فيو","1201600","Residential","1","11","60","141.21","بيع","2014-12-09","ليك فيو","LAKE VIEW","سكني","350","3","Jumeirah Lakes Towers","1","8509.31","مبايعات","Marina Mall","0","أبراج بحيرات جميرا","1","1","Sales","مارينا مول","1-11-2014-26634","بنتهاوس","null","Unit","Jumeirah Lakes Towers","Sports City Swimming Academy","PENTHOUSE","Al Thanyah Fifth","وحدة","1","2026-02-26 10:09:51","أكاديمية المدينة الرياضية للسباحة","الثنيه الخامسة","Existing Properties","Flat","437","null","العقارات القائمة","شقه سكنيه"," ابراج بحيرات الجميرا"
"Sell - Pre registration","Samana Waves","سمانا ويفز","1007000","Residential","0","102","60","66.94","بيع - تسجيل مبدئى","2025-09-16","سمانا ويفز","SAMANA WAVES","سكني","441","3","Dubai Internet City","1","15043.32","مبايعات","Marina Mall","0","مدينة دبي للإنترنت","1","1","Sales","مارينا مول","1-102-2025-88834","غرفة","null","Unit","Jumeirah Village Circle","Sports City Swimming Academy","1 B/R","Al Barsha South Fourth","وحدة","1","2026-02-26 10:09:51","أكاديمية المدينة الرياضية للسباحة","البرشاء جنوب الرابعة","Off-Plan Properties","Flat","2345","null","على الخارطة","شقه سكنيه","قرية جميرا الدائرية"
"Sell Development","null","جاردين ابارتمينتس","885000","Residential","1","45","60","147.75","بيع حق منفعة","2021-04-05","null","GARDEN APARTMENTS","سكني","232","3","Rashidiya Metro Station","1","5989.85","مبايعات","City Centre Mirdif","0","محطة مترو الراشدية","1","1","Sales","سيتي سنتر مردف","1-45-2021-257","غرفتين","null","Unit","Uptown Mirdif","Dubai International Airport","2 B/R","Mirdif","وحدة","1","2026-02-26 10:09:51","مطار دبي الدولي","مردف","Existing Properties","Flat","null","null","العقارات القائمة","شقه سكنيه","اب تاون مردف"
"Sell","null","null","1389800","Commercial","1","11","null","983.01","بيع","2008-05-08","null","null","تجاري","352","4","Damac Properties","0","1413.82","مبايعات","Marina Mall","0","عقارات داماك","1","1","Sales","مارينا مول","1-11-2008-2611","null","null","Villa","Meadows 1","Sports City Swimming Academy","null","Al Thanayah Fourth","فيلا","1","2026-02-26 10:09:51","أكاديمية المدينة الرياضية للسباحة","الثنيه الرابعة","Existing Properties","null","null","null","العقارات القائمة","null","السهول 1"
"Sell - Pre registration","IMPERIAL RESIDENCE","امبيريال ريزيدنس 1","795350","Residential","0","102","60","77.2","بيع - تسجيل مبدئى","2009-08-24","إمبريال ريزيدنس","IMPERIAL RESIDENCE 1","سكني","442","3","Nakheel Metro Station","1","10302.46","مبايعات","Marina Mall","0","محطة مترو النخيل","1","1","Sales","مارينا مول","1-102-2007-2757","غرفة","null","Unit","Jumeirah Village Triangle","Sports City Swimming Academy","1 B/R","Al Barsha South Fifth","وحدة","1","2026-02-26 10:09:51","أكاديمية المدينة الرياضية للسباحة","البرشاء جنوب الخامسة","Off-Plan Properties","Flat","210","null","على الخارطة","شقه سكنيه","قرية جميرا المثلثة"
"Sell","null","MARINA DIAMOND-2","900000","Residential","1","11","60","54.72","بيع","2025-06-03","null","MARINA DIAMOND-2","سكني","330","3","Jumeirah Lakes Towers","1","16447.37","مبايعات","Marina Mall","0","أبراج بحيرات جميرا","1","1","Sales","مارينا مول","1-11-2025-23644","غرفة","null","Unit","Dubai Marina","Sports City Swimming Academy","1 B/R","Marsa Dubai","وحدة","1","2026-02-26 10:09:51","أكاديمية المدينة الرياضية للسباحة","مرسى دبي","Existing Properties","Flat","null","null","العقارات القائمة","شقه سكنيه","دبي مارينا"
"Lease to Own Registration","MARINA RESIDENCE","مارينا ابارتمنتس 3","2056000","Residential","1","110","60","189.89","تسجيل إيجارة تنتهى بالتملك","2013-05-13","مارينا ريزيدنس","Marina Apartments 3","سكني","410","3","Palm Jumeirah","1","10827.32","رهون","Marina Mall","2","نخلة جميرا","2","2","Mortgages","مارينا مول","2-110-2013-996","غرفتين","10827.32","Unit","Palm Jumeirah","Burj Al Arab","2 B/R","Palm Jumeirah","وحدة","2","2026-02-26 10:09:51","برج العرب","نخلة جميرا","Existing Properties","Flat","1297","2056000","العقارات القائمة","شقه سكنيه","نخلة جميرا"
"Mortgage Registration","Binghatti Nova","بن غاطي نوفا","515160","Residential","1","13","60","80.64","تسجيل رهن","2024-05-27","بن غاطي نوفا","Binghatti Nova","سكني","441","3","Dubai Internet City","1","6388.39","رهون","Mall of the Emirates","0","مدينة دبي للإنترنت","1","1","Mortgages","مول الإمارات","2-13-2024-10772","غرفة","null","Unit","Jumeirah Village Circle","Sports City Swimming Academy","1 B/R","Al Barsha South Fourth","وحدة","2","2026-02-26 10:09:51","أكاديمية المدينة الرياضية للسباحة","البرشاء جنوب الرابعة","Existing Properties","Flat","2494","null","العقارات القائمة","شقه سكنيه","قرية جميرا الدائرية"
"Sell","REMRAAM","الثمام 28","1340000","Residential","1","11","60","137.38","بيع","2024-08-06","رمرام","AL THAMAM 28","سكني","451","3","null","1","9753.97","مبايعات","null","0","null","1","2","Sales","null","1-11-2024-28910","ثلاث غرف","null","Unit","Remraam","Motor City","3 B/R","Al Hebiah Fifth","وحدة","1","2026-02-26 10:09:51","موتور سيتي","الحبيه الخامسة","Existing Properties","Flat","975","null","العقارات القائمة","شقه سكنيه","رمرام"
"Sell - Pre registration","THE FIELDS AT D11 - MBRMC","null","3370346","Residential","0","102","4","187.2","بيع - تسجيل مبدئى","2023-01-02","الحقول في D11 - إم بي أر إم سي ","null","سكني","465","4","null","0","18003.99","مبايعات","null","0","null","1","1","Sales","null","1-102-2022-41002","أربع غرف","null","Villa","Mohammed Bin Rashid AL Maktoum District 11","IMG World Adventures","4 B/R","Wadi Al Safa 3","فيلا","1","2026-02-26 10:09:51","آي إم جي وورلد أدفينتشرز","وادي الصفا 3","Off-Plan Properties","Villa","1612","null","على الخارطة","فيلا","مدينة محمد بن راشد آل مكتوم – ديستركت 11"
"Mortgage Registration","null","مساكن مبنى B","956250","Residential","1","13","60","126.12","تسجيل رهن","2022-08-08","null","Massakin Block B","سكني","445","3","Ibn Battuta Metro Station","1","7582.06","رهون","Ibn-e-Battuta Mall","0","محطة مترو ابن بطوطة","1","1","Mortgages","ابن بطوطة مول","2-13-2022-11858","غرفتين","null","Unit","Al Furjan","Sports City Swimming Academy","2 B/R","Jabal Ali First","وحدة","2","2026-02-26 10:09:51","أكاديمية المدينة الرياضية للسباحة","جبل علي الأولى","Existing Properties","Flat","null","null","العقارات القائمة","شقه سكنيه","الفرجان"
"Sell","null","MARINA DIAMOND-2","610000","Residential","1","11","60","37.25","بيع","2023-07-20","null","MARINA DIAMOND-2","سكني","330","3","Jumeirah Lakes Towers","1","16375.84","مبايعات","Marina Mall","0","أبراج بحيرات جميرا","1","1","Sales","مارينا مول","1-11-2023-23134","استوديو","null","Unit","Dubai Marina","Sports City Swimming Academy","Studio","Marsa Dubai","وحدة","1","2026-02-26 10:09:51","أكاديمية المدينة الرياضية للسباحة","مرسى دبي","Existing Properties","Flat","null","null","العقارات القائمة","شقه سكنيه","دبي مارينا"
"Mortgage Registration","Villanova Amaranta A ","null","1955000","Residential","1","13","4","233.9","تسجيل رهن","2023-08-28","فيلانوفا أمارانتا أ","null","سكني","467","4","null","0","8358.27","رهون","null","0","null","1","1","Mortgages","null","2-13-2023-14914","أربع غرف","null","Villa","null","IMG World Adventures","4 B/R","Wadi Al Safa 5","فيلا","2","2026-02-26 10:09:51","آي إم جي وورلد أدفينتشرز","وادي الصفا 5","Existing Properties","Villa","2076","null","العقارات القائمة","فيلا","null"
"Sell","EMIRATES GARDEN I - GARDENIA","اميراتس جاردينز 1 جي 2","330000","Residential","1","11","60","44.87","بيع","2022-11-30","الإمارات حديقة الأول - جاردينيا","Emirates Gardens 1 - G2","سكني","441","3","Dubai Internet City","1","7354.58","مبايعات","Mall of the Emirates","0","مدينة دبي للإنترنت","1","1","Sales","مول الإمارات","1-11-2022-30330","استوديو","null","Unit","Jumeirah Village Circle","Sports City Swimming Academy","Studio","Al Barsha South Fourth","وحدة","1","2026-02-26 10:09:51","أكاديمية المدينة الرياضية للسباحة","البرشاء جنوب الرابعة","Existing Properties","Flat","1433","null","العقارات القائمة","شقه سكنيه","قرية جميرا الدائرية"
"Sell","SABA TOWER 2","سبا 2","969999","Residential","1","11","60","71.91","بيع","2023-12-22"," سابا تاور 2","SABA 2","سكني","350","3","Damac Properties","1","13489.07","مبايعات","Marina Mall","0","عقارات داماك","1","1","Sales","مارينا مول","1-11-2023-42678","غرفة","null","Unit","Jumeirah Lakes Towers","Burj Al Arab","1 B/R","Al Thanyah Fifth","وحدة","1","2026-02-26 10:09:51","برج العرب","الثنيه الخامسة","Existing Properties","Flat","463","null","العقارات القائمة","شقه سكنيه"," ابراج بحيرات الجميرا"
"Sell","Murooj Al Furjan 2 ","null","3800000","Commercial","1","11","null","277.69","بيع","2025-04-21","مروج الفرجان 2 ","null","تجاري","445","1","null","0","13684.32","مبايعات","null","0","null","2","1","Sales","null","1-11-2025-16117","null","null","Land","Al Furjan","null","null","Jabal Ali First","أرض","1","2026-02-26 10:09:51","null","جبل علي الأولى","Existing Properties","null","2262","null","العقارات القائمة","null","الفرجان"
"Mortgage Registration","BURJ KHALIFA TOWERS","برج خليفة","2160000","Residential","1","13","60","105.26","تسجيل رهن","2023-11-22","أبراج برج خليفة","Burj Khalifa","سكني","390","3","Buj Khalifa Dubai Mall Metro Station","1","20520.62","رهون","Dubai Mall","0","محطة مترو بوج خليفة دبي مول","1","1","Mortgages","مول دبي","2-13-2023-21633","غرفة","null","Unit","DownTown Dubai","Burj Khalifa","1 B/R","Burj Khalifa","وحدة","2","2026-02-26 10:09:51","برج خليفة","برج خليفة","Existing Properties","Flat","1462","null","العقارات القائمة","شقه سكنيه","داون تاون دبي"
"Sell","TANARO","تنارو","2005888","Residential","1","11","60","126.72","بيع","2011-02-15","تانارو","TNARO","سكني","351","3","Nakheel Metro Station","1","15829.29","مبايعات","Marina Mall","0","محطة مترو النخيل","1","1","Sales","مارينا مول","1-11-2011-2817","غرفتين","null","Unit","The Greens","Burj Al Arab","2 B/R","Al Thanyah Third","وحدة","1","2026-02-26 10:09:51","برج العرب","الثنيه الثالثة","Existing Properties","Flat","1459","null","العقارات القائمة","شقه سكنيه","الروضة"
"Sell - Pre registration","CAPRIA WEST","مارا?يل ريزيدنسز1","6891000","Residential","0","102","60","270.19","بيع - تسجيل مبدئى","2025-12-30","كابريا ويست","Maravelle Residences 1","سكني","466","3","null","1","25504.27","مبايعات","null","0","null","1","1","Sales","null","1-102-2025-135122","ثلاث غرف","null","Unit","null","null","3 B/R","Wadi Al Safa 4","وحدة","1","2026-02-26 10:09:51","null","وادي الصفا 4","Off-Plan Properties","Flat","3525","null","على الخارطة","شقه سكنيه","null"
"Development Mortgage","null","null","2064425","Residential","1","39","4","910","رهن حق منفعة","2020-12-28","null","null","سكني","458","4","DANUBE Metro Station","0","2268.6","رهون","Ibn-e-Battuta Mall","1","محطة مترو الدانوب","0","2","Mortgages","ابن بطوطة مول","2-39-2020-303","أربع غرف","null","Villa","Dubai Investment Park First","Expo 2020 Site","4 B/R","Dubai Investment Park First","فيلا","2","2026-02-26 10:09:51","موقع إكسبو 2020","مجمع دبي للاستثمار الاول","Existing Properties","Villa","null","null","العقارات القائمة","فيلا","مجمع دبي للاستثمار الاول"
"Sell","HARBOUR RESIDENCES","آورا هاربور تاور 1","800000","Hospitality ","1","11","101","74.42","بيع","2021-02-15","المرفأ ريزيدنس","ORRA HARBOUR TOWER 1","ضيافة","330","3","Jumeirah Beach Resdency","1","10749.8","مبايعات","Marina Mall","0","مساكن شاطئ الجميرا","1","1","Sales","مارينا مول","1-11-2021-2072","غرفة","null","Unit","Dubai Marina","Burj Al Arab","1 B/R","Marsa Dubai","وحدة","1","2026-02-26 10:09:51","برج العرب","مرسى دبي","Existing Properties","Hotel Apartment","255","null","العقارات القائمة","شقة فندقية","دبي مارينا"
"Mortgage Registration","null","فيروايز نورث تاور","1480000","Residential","1","13","60","140.66","تسجيل رهن","2013-03-18","null","The Fairways North Tower","سكني","351","3","Nakheel Metro Station","1","10521.83","رهون","Marina Mall","0","محطة مترو النخيل","1","2","Mortgages","مارينا مول","2-13-2013-1496","غرفتين","null","Unit","The Greens","Burj Al Arab","2 B/R","Al Thanyah Third","وحدة","2","2026-02-26 10:09:51","برج العرب","الثنيه الثالثة","Existing Properties","Flat","null","null","العقارات القائمة","شقه سكنيه","الروضة"
"Mortgage Registration","REEM-MIRA COMMUNITY PH 1","null","2819600","Residential","1","13","4","346.54","تسجيل رهن","2025-01-07","مجمع ريم ميرا بي أتش 1","null","سكني","506","4","null","0","8136.43","رهون","null","0","null","1","2","Mortgages","null","2-13-2025-337","أربع غرف","null","Villa","null","Dubai Cycling Course","4 B/R","Al Yelayiss 1","فيلا","2","2026-02-26 10:09:51","دورة دبي للدراجات","اليلايس 1","Existing Properties","Villa","1792","null","العقارات القائمة","فيلا","null"
"Mortgage Registration","null","null","2900000","Residential","1","13","4","400","تسجيل رهن","2012-03-19","null","null","سكني","444","4","Dubai Internet City","0","7250","رهون","Mall of the Emirates","0","مدينة دبي للإنترنت","1","2","Mortgages","مول الإمارات","2-13-2012-967","ثلاث غرف","null","Villa","Motor City","Motor City","3 B/R","Al Hebiah First","فيلا","2","2026-02-26 10:09:51","موتور سيتي","الحبيه الاولى","Existing Properties","Villa","null","null","العقارات القائمة","فيلا","موتور ستي"
"Sell - Pre registration","Viewz 2 By Danube","فيوز 2 من دانوب","1005000","Residential","0","102","60","38.99","بيع - تسجيل مبدئى","2023-06-14","فيوز2 من دانوب ","Viewz 2 By Danube","سكني","350","3","Jumeirah Lakes Towers","1","25775.84","مبايعات","Marina Mall","0","أبراج بحيرات جميرا","1","1","Sales","مارينا مول","1-102-2023-28550","استوديو","null","Unit","Jumeirah Lakes Towers","Sports City Swimming Academy","Studio","Al Thanyah Fifth","وحدة","1","2026-02-26 10:09:51","أكاديمية المدينة الرياضية للسباحة","الثنيه الخامسة","Off-Plan Properties","Flat","2560","null","على الخارطة","شقه سكنيه"," ابراج بحيرات الجميرا"
"Sell","LAKE CITY TOWER","ليك سيتي تاور","965000","Residential","1","11","60","79.88","بيع","2015-08-24","ليك سيتي تاور","LAKE CITY TOWER","سكني","350","3","Jumeirah Lakes Towers","1","12080.62","مبايعات","Marina Mall","0","أبراج بحيرات جميرا","1","1","Sales","مارينا مول","1-11-2015-13132","غرفة","null","Unit","Jumeirah Lakes Towers","Sports City Swimming Academy","1 B/R","Al Thanyah Fifth","وحدة","1","2026-02-26 10:09:51","أكاديمية المدينة الرياضية للسباحة","الثنيه الخامسة","Existing Properties","Flat","816","null","العقارات القائمة","شقه سكنيه"," ابراج بحيرات الجميرا"
"Sell","null","null","200000","Commercial","1","11","null","8.35","بيع","2009-07-22","null","null","تجاري","362","2","Baniyas Square Metro Station","0","23952.1","مبايعات","Dubai Mall","0","محطة مترو ميدان بني ياس","1","1","Sales","مول دبي","1-11-2009-300030","null","null","Building","null","Dubai International Airport","null","Naif","مبنى","1","2026-02-26 10:09:51","مطار دبي الدولي","نايف","Existing Properties","null","null","null","العقارات القائمة","null","null"
"Sell","null","null","5800000","Residential","1","11","null","896.91","بيع","2024-10-31","null","null","سكني","464","1","null","0","6466.65","مبايعات","null","0","null","4","1","Sales","null","1-11-2024-41626","null","null","Land","Liwan2","IMG World Adventures","null","Wadi Al Safa 2","أرض","1","2026-02-26 10:09:51","آي إم جي وورلد أدفينتشرز","وادي الصفا 2","Existing Properties","null","null","null","العقارات القائمة","null","ليوان 2"
"Mortgage Registration","null","المجرة-5","624000","Residential","1","13","60","103.96","تسجيل رهن","2020-12-10","null","Al Majara 5","سكني","330","3","Jumeirah Lakes Towers","1","6002.31","رهون","Marina Mall","0","أبراج بحيرات جميرا","1","1","Mortgages","مارينا مول","2-13-2020-9983","غرفتين","null","Unit","Dubai Marina","Burj Al Arab","2 B/R","Marsa Dubai","وحدة","2","2026-02-26 10:09:51","برج العرب","مرسى دبي","Existing Properties","Flat","null","null","العقارات القائمة","شقه سكنيه","دبي مارينا"
"Sell","Seventh Heaven - Ashjar","اي 2","4102242","Residential","1","11","60","371.91","بيع","2024-11-26","سفنث هيفن - أشجار","E2","سكني","465","3","null","1","11030.2","مبايعات","null","0","null","1","1","Sales","null","1-11-2024-45527","غرفتين","null","Unit","Al Barari","IMG World Adventures","2 B/R","Wadi Al Safa 3","وحدة","1","2026-02-26 10:09:51","آي إم جي وورلد أدفينتشرز","وادي الصفا 3","Existing Properties","Flat","1619","null","العقارات القائمة","شقه سكنيه","البراري"
"Sell - Pre registration","Grove ","جروف اون ذا بارك","823888","Residential","0","102","60","60.95","بيع - تسجيل مبدئى","2024-02-20","جروف","Grove on the Park","سكني","507","3","null","1","13517.44","مبايعات","null","0","null","1","1","Sales","null","1-102-2024-10080","غرفة","null","Unit","TOWN SQUARE","Dubai Cycling Course","1 B/R","Al Yelayiss 2","وحدة","1","2026-02-26 10:09:51","دورة دبي للدراجات","اليلايس 2","Off-Plan Properties","Flat","2850","null","على الخارطة","شقه سكنيه","تاون سكوير"
"Sell","DAMAC HILLS (2) - CLARET","null","1072922","Residential","1","11","null","174.8","بيع","2021-10-28","داماك هيلز (2) - كلاريت","null","سكني","449","4","null","0","6138","مبايعات","null","0","null","1","1","Sales","null","1-11-2021-19087","null","null","Villa","DAMAC HILLS 2","Dubai Cycling Course","null","Al Yufrah 2","فيلا","1","2026-02-26 10:09:51","دورة دبي للدراجات","اليفره 2","Existing Properties","null","1549","null","العقارات القائمة","null","داماك هيليز 2"
"Sell - Pre registration","Golf Acres","جولف إيكرز","1095888","Residential","0","102","60","75.48","بيع - تسجيل مبدئى","2025-02-13","جولف ايكرز","Golf Acres","سكني","462","3","null","1","14518.92","مبايعات","null","0","null","1","1","Sales","null","1-102-2025-11900","غرفة","null","Unit","Dubai World Central","null","1 B/R","Madinat Al Mataar","وحدة","1","2026-02-26 10:09:51","null","مدينة المطار","Off-Plan Properties","Flat","3426","null","على الخارطة","شقه سكنيه","دبي ورلد سنترال"
"Sell","null","مارينا هايتز 1","7500000","Residential","1","11","60","529.69","بيع","2025-08-22","null","MARINA HEIGHTS 1","سكني","330","3","Marina Towers","1","14159.23","مبايعات","Marina Mall","0","ابراج مارينا","1","1","Sales","مارينا مول","1-11-2025-35209","خمس غرف","null","Unit","Dubai Marina","Burj Al Arab","5 B/R","Marsa Dubai","وحدة","1","2026-02-26 10:09:51","برج العرب","مرسى دبي","Existing Properties","Flat","null","null","العقارات القائمة","شقه سكنيه","دبي مارينا"
