zoning_authority_ar,project_status,developer_name,master_developer_number,project_type_ar,project_classification_ar,area_id,project_name,project_end_date,escrow_agent_name,no_of_buildings,project_id,project_status_ar,developer_number,developer_id,project_start_date,project_type_id,no_of_lands,master_project_en,no_of_units,no_of_villas,project_classification_id,area_name_en,property_id,cancellation_date,zoning_authority_id,percent_completed,master_developer_id,escrow_agent_id,area_name_ar,project_number,project_description_en,master_developer_name,zoning_authority_en,completion_date,master_project_ar,project_description_ar
"سلطة دبي للتطوير","FINISHED","تيكوم للإستثمارات منطقة حرة- ذ.م.م","856","عادي","مباني","452","سيليا رزيدانس","2024-09-14","بنك الإمارات دبي الوطني (ش.م.ع)","1","426351107","منجز","1363","372229066","2022-09-15","1","0","Dubai Studio City","111","0","1","Al Hebiah Second","995208962","null","2","100","856","7","الحبيه الثانية","2426","RESIDENTIAL BUILDING ( G + 4 FLOORS + ROOF)","تيكوم للإستثمارات منطقة حرة- ذ.م.م","Dubai Development Authority (DDA)","2024-09-14","مدينة دبي للستديو","مبنى سكني مؤلف من طابق أرضي + 4 طوابق + سطح"
"تراخيص","ACTIVE","شركة نخيل (ش.م.خ)","100","عادي","فلل","445","قرية جبل علي تاون هاوسز- المرحلة 3","2025-12-31","بنك المشرق (شركة مساهمة عامة)","0","411471164","فعال","114","114","2022-09-29","1","205","Jabal Ali Village","0","0","2","Jabal Ali First","2134812357","null","4","79","100","33","جبل علي الأولى","2387","196 Villas with amenities.The project designed to have a concrete structure and block with internal and external finishes.","شركة نخيل (ش.م.خ)","Trakhees","2025-12-31","قرية جبل علي","N/A"
"سلطة دبي للتطوير","FINISHED","شركة الخط الامامي لادارة الاستثمار ش.ذ.م.م","1021","عادي","فلل","505","داماك هيلز ( 2 ) - باسوود","2022-03-21","بنك ابوظبى التجارى","0","34098121","منجز","1021","13743506","2016-12-20","1","418","DAMAC HILLS 2","0","0","2","Madinat Hind 4","192523363","null","2","100","13743506","5","مدينة هند 4","1803","Project consists of a cluster of freehold G+1  of 419 Villas located in Al-Yufrah 3 Area The Villas are designed to have concrete structure and block with internal and external finishes . ","شركة الخط الامامي لادارة الاستثمار ش.ذ.م.م","Dubai Development Authority (DDA)","2022-03-21","داماك هيليز 2","المشروع يتكون من 419 فيلا في منطقة اليفرة 3 و هو عبارة عن فلل طابق أرضي + أول و و البناء عبارة عن تشطيبات داخلية و خارجية "
"سلطة دبي للتطوير","ACTIVE","اعمار العقارية (ش . م. ع)","555","عادي","مباني","390","بن غاطي سكاي بليد","2027-11-30","بنك دبي الاسلامي (شركة مساهمة عامة)","1","751875646","فعال","1051","15782130","2025-02-01","1","0","DownTown Dubai","621","0","1","Burj Khalifa","1501196106","null","2","6","555","1","برج خليفة","3725","4B + G + 3P + 61 + R","اعمار العقارية (ش . م. ع)","Dubai Development Authority (DDA)","null","داون تاون دبي","4B + G + 3P + 61 + R"
"تراخيص","FINISHED","قرية جميرا (ش.ذ.م.م)","102","عادي","مباني","441","كابادوكيا","2013-08-15","بنك أبوظبي الأول ش.م.ع.","1","634","منجز","413","413","2008-09-01","1","0","Jumeirah Village Circle","65","0","1","Al Barsha South Fourth","105149537","null","4","100","102","25","البرشاء جنوب الرابعة","634","Freehold residential development located at Jumeirah Village South. Designed and constructed as B+G+4 Floor level building; designed to be built as a concrete skeleton and block works with cement render finishes.","قرية جميرا (ش.ذ.م.م)","Trakhees","2013-12-31","قرية جميرا الدائرية","مشروع مبنى سكني للتملك الحر يقع في منطقة قرية الجميرا الاولى. البناية مؤلفة طابق ارضي+اربعة طوابق علويه مع سرداب مواقف سيارات. المبنى عبارة عن هيكل خرساني مع انهاءاته الخارجية و الداخلية "
"سلطة دبي للتطوير","ACTIVE","مدينة دبي الرياضية (ش. ذ. م. م)","200","عادي","مباني","435","سبورتز من دانوب ","2026-03-30","البنك العربي المتحد","2","556630812","فعال","1009","12777430","2024-06-01","1","0","Dubai Sports City","1110","0","1","Al Hebiah Fourth","761732147","null","2","33","200","33602168","الحبيه الرابعة","2845","Building 1 (A):33F+R,Building 2 (B):33F+R,(shared):G+5P+R. Residential , The project designed to have a concrete structure and block with internal and external finishes.","مدينة دبي الرياضية (ش. ذ. م. م)","Dubai Development Authority (DDA)","null","مدينة دبي الرياضية","N/A"
"تراخيص","ACTIVE","قرية جميرا (ش.ذ.م.م)","102","عادي","مباني","442","ذا فاين ريزدينسز","2026-11-25","بنك ابوظبى التجارى","1","612886319","فعال","1283","286207789","2024-05-15","1","0","Jumeirah Village Triangle","263","0","1","Al Barsha South Fifth","2131888752","null","4","37","102","5","البرشاء جنوب الخامسة","3094","G+4 + Commerical & Services. FL +16 Typical + PH ","قرية جميرا (ش.ذ.م.م)","Trakhees","2026-11-25","قرية جميرا المثلثة","أرضي + 4 + تجاري وخدمات. +16طابق نموذجي + بينتهاوس"
"تراخيص","NOT_STARTED","الفرجان ( ش.ذ.م.م )","121","عادي","فلل","445","توري باي أي جي أو ","2027-04-30","بنك أبوظبي الأول ش.م.ع.","0","760845474","تحت الانشاء","1328","354178374","2025-08-01","1","0","Al Furjan","0","15","2","Jabal Ali First","443196706","null","4","0","121","25","جبل علي الأولى","3779","15Villas B+G+1 ","الفرجان ( ش.ذ.م.م )","Trakhees","null","الفرجان","15فيلا قبو+أرضي + أول"
"سلطة دبي للتطوير","FINISHED","دبي للعقارات (ش.ذ.م.م)","850","عادي","مباني","467","سندس روزا","2010-12-31","بنك دبي الاسلامي (شركة مساهمة عامة)","1","831","منجز","602","602","2008-12-10","1","0","Dubai Land Residence Complex","0","0","1","Wadi Al Safa 5","1258748521","null","2","100","850","1","وادي الصفا 5","831"," ","دبي للعقارات (ش.ذ.م.م)","Dubai Development Authority (DDA)","2013-10-03","مجمع دبي لاند السكني"," "
"تراخيص","PENDING","شركة نخيل (ش.م.خ)","100","عادي","مباني","432","لا كريستال","2028-09-30","مصرف الشارقه الاسلامى","1","806380170","قيد التسجيل","2208","712205007","2025-10-01","1","0","Palm Deira","64","0","1","Palm Deira","1788396659","null","4","0","100","16","نخلة ديرة","4059","Residential G+2P+8F+R Building","شركة نخيل (ش.م.خ)","Trakhees","null","نخلة ديرة","مبنى سكني مكون من طابق ارضي+ 2 بوديوم + 8 طوابق + سطح"
"بلدية دبي","NOT_STARTED","مجموعة ميدان (ش.ذ.م.م)","1181","عادي","مباني","405","ذا هاي غروف","2028-12-31","بنك أبوظبي الأول ش.م.ع.","1","801710051","تحت الانشاء","1117","27458061","2025-09-01","1","0","","296","0","1","Bukadra","1243365385","null","1","0","53873272","25","بوكدرة","4037","Residential Building G+4P+ 31F+R+UR","مجموعة ميدان (ش.ذ.م.م)","Dubai Municipality","null","","مبنى سكني G+4P+ 31F+R+UR"
"بلدية دبي","FINISHED","اوريون للتطوير العقاري ش.ذ.م.م","1110","عادي","مباني","409","بناية اوريون","2022-07-15","مصرف الامارات الاسلامي مساهمة عامة","1","27136683","منجز","1110","26592045","2016-01-01","1","0","","196","0","1","Al Barshaa South Third","12973221","null","1","100","26592045","2","البرشاء جنوب الثالثة","1700","Residential with retails at ground floor building located in Al Barshaa South Third consist of G+3P+10 typical floors+HC,  with internal and external finishes ","اوريون للتطوير العقاري ش.ذ.م.م","Dubai Municipality","2022-06-01","","طابق أرضي و يحتوي على المدخل الرئيسي و خدمات و 1413 متر مربع كمساحات تجارية- 3 طوابق بوديوم كمواقف سيارات - 10 طوابق سكنية متكرره تحتوي على 190 شقه:  10 - ستوديو  130 - غرفه نوم واحده   50 - غرفتين نوم   طابق النادي الصحي و يحتوي على بركة سباحه ، صالة رياضيه ، و خدمات .  مع التشطيبات الداخلية والخارجية   مع محال تجارية في الطابق الأرضي"
"تراخيص","FINISHED","قرية جميرا (ش.ذ.م.م)","102","عادي","مباني","441","بن غاطي أونيكس","2024-10-01","مصرف الشارقه الاسلامى","1","490578574","منجز","1051","15782130","2023-03-23","1","0","Jumeirah Village Circle","507","0","1","Al Barsha South Fourth","1573579000","null","4","100","102","16","البرشاء جنوب الرابعة","2610","B+ G+ 4Podium+ 36 Typical Floors+ Roof.The project designed to have a concrete structure and block with internal and external finishes.","قرية جميرا (ش.ذ.م.م)","Trakhees","2024-10-01","قرية جميرا الدائرية","N/A"
"تراخيص","ACTIVE","قرية جميرا (ش.ذ.م.م)","102","عادي","مباني","441","(  مايسون الاليزيه I )","2027-03-31","بنك ابوظبى التجارى","1","572541372","فعال","1364","372307639","2024-04-01","1","0","Jumeirah Village Circle","351","0","1","Al Barsha South Fourth","90035305","null","4","3","102","5","البرشاء جنوب الرابعة","2905","(2 Basements +Ground+04 Podiums+22 Floors+Roof)","قرية جميرا (ش.ذ.م.م)","Trakhees","null","قرية جميرا الدائرية","طابقين مواقف بالقبو + طابق أرضى +4 طوابق باركن +22 طابق سكنى +طابق سطح "
"سلطة دبي للتطوير","ACTIVE","واحة الجزيرة العقارية (ش.ذ.م.م)","921","عادي","مباني","451","داماك لاجونز - لاجون فيوز 7","null","مصرف ابوظبى الاسلامى","2","581747282","فعال","921","921","2024-04-22","1","0","","96","0","1","Al Hebiah Fifth","353168870","null","2","5","921","4","الحبيه الخامسة","2946","Project consists of 2 Residential Towers of G+6+R floors. It is designed to have a concrete structure and block with internal and external finishes","واحة الجزيرة العقارية (ش.ذ.م.م)","Dubai Development Authority (DDA)","null","","يتكون المشروع من عدد 2 أبراج سكنية مكونة من G+6+R. وهي مصممة بحيث يكون لها هيكل خرساني وكتلة ذات تشطيبات داخلية وخارجية"
"بلدية دبي","NOT_STARTED","إعمار للتطوير (مساهمة عامة)","1211","عادي","فلل","459","جراند بولو - شيفاليا فيلدز","2029-04-30","بنك راس الخيمه الوطنى ش.م.ع","0","746208416","تحت الانشاء","1211","137044480","2025-03-13","1","178","","0","0","2","Dubai Investment Park Second","2016050415","null","1","0","137044480","647733814","مجمع دبي للاستثمار الثاني","3701","Residential development consisting of 179 villas (G+2)  ","إعمار للتطوير (مساهمة عامة)","Dubai Municipality","null","","Residential development consisting of 179 villas (G+2)  "
"سلطة دبي للتطوير","FINISHED","دبي هيلز استيت ش.ذ.م.م","984","عادي","فلل","482","باركواي فيستاز","2019-08-24","بنك دبي الاسلامي (شركة مساهمة عامة)","0","31307314","منجز","984","11259953","2016-11-06","1","60","DUBAI HILLS - PARKWAY VISTAS","0","0","2","Hadaeq Sheikh Mohammed Bin Rashid","1735049030","null","2","100","11259953","1","حدائق الشيخ محمد بن راشد","1768","The project consists of 61 detached villas (G+1)with infra structure, located in Hadaeq Sheikh Mohammed Bin Rashid area .the design is concrete structure with internal and external finishes.","دبي هيلز استيت ش.ذ.م.م","Dubai Development Authority (DDA)","2019-10-03","دبي هيليز - بارك واي فيستا","المشروع عباره عن 61 فيلا منفصله للتملك الحر مع البنية التحتيةوهو أرضي +1 ويقع في منطقة حدائق الشيخ محمد بن راشد  المشروع مصمم من هيكل خرساني مع التشطيبات الداخلية والخارجية    "
"سلطة دبي للتطوير","FINISHED","مدينه دبى الطبيه منطقه حرة - ذ.م.م.","1154","عادي","مباني","334","O10","2022-11-30","بنك المشرق (شركة مساهمة عامة)","1","386110372","منجز","1331","355032478","2021-09-01","1","0","Dubai Health Care City Phase 2","126","0","1","Al Jadaf","1204713935","null","2","100","33777435","33","الجداف","2323","2B+G+11F+R Building located in Al Jadaf","مدينه دبى الطبيه منطقه حرة - ذ.م.م.","Dubai Development Authority (DDA)","2022-11-30","مدينة دبي الطبية المرحلة الثانية","2B+G+11F+R Building located in Al Jadaf"
"سلطة واحة دبي للسيليكون","FINISHED","سلطة دبي للمناطق الإقتصادية المتكاملة","344","عادي","مباني","484","سيليكون بوليفارد","2010-05-31","بنك برودا","2","475","منجز","280","280","2007-02-01","1","0","Silicon Oasis","206","0","1","Nadd Hessa","722212744","null","3","100","344","17","ند حصة","475","Residential and Commercial building located in Dubai Silicon Oasis where Residential building is being built as 3B+G+11 and Commercial building is being built as G+14.","سلطة دبي للمناطق الإقتصادية المتكاملة","Dubai Silicon Oasis Authority","2010-05-31","واحة السيليكون"," "
"سلطة دبي للتطوير","ACTIVE","إعمار للتطوير (مساهمة عامة)","1211","عادي","مجمع فلل","469","ذا فالي - فيلورا","2028-08-31","بنك أبوظبي الأول ش.م.ع.","0","627510787","فعال","1211","137044480","2024-08-23","1","121","","0","488","3","Al Yufrah 1","2005912647","null","2","8","137044480","19","اليفره 1","3153","Residential development consisting of 488 villas (G+1)","إعمار للتطوير (مساهمة عامة)","Dubai Development Authority (DDA)","2028-08-31","","مجمع سكني مكون من عدد 488 فيلا سكنية (ارضي+1)"
"تراخيص","CONDITIONAL_ACTIVATING","شركة نخيل (ش.م.خ)","100","عادي","مباني","350","مرتفعات جميرا","2013-01-01","بنك المشرق (شركة مساهمة عامة)","4","1285","تفعيل مشروط","109","109","2006-01-09","1","0","Jumeirah Islands","1372","11","1","Al Thanyah Fifth","1270587712","null","4","32","100","33","الثنيه الخامسة","1285","Freehold residential development located in Jumeirah Islands. The project consists of two Fronds, A & B. Each Frond have 3 buildings (B+G+26) & 17 villas, being built as a concrete structure with external and internal finishing.","شركة نخيل (ش.م.خ)","Trakhees","2013-01-01","جزر جميرا","مشروع سكني للتملك الحر يقع في منطقه جزر الجميرا. يتالف المشروع من قطاعين (سعفتين)، اي و بي. كل سعفه تحتوي على بنايتين (سرداب + ارضي + 26 طابق علوي)  و 17 فيلا، يتم بنائها بهيكل خرساني مع الانهاءات الداخليه والخارجيه"
"سلطة دبي للتطوير","FINISHED","رمرام ش.ذ.م.م","41","عادي","مباني","464","كيو بوينت ليوان -PLOT R052","2016-09-28","بنك المشرق (شركة مساهمة عامة)","1","1197","منجز","903","903","2008-08-04","1","0","Liwan1","67","0","1","Wadi Al Safa 2","1367144262","null","2","100","41","33","وادي الصفا 2","1197","Freehold residential development located in Wadi Al Safa 2 - Dubai. The building is designed and constructed as a G+6 concrete structure with external and internal finishing.","رمرام ش.ذ.م.م","Dubai Development Authority (DDA)","2016-09-28","ليوان 1","مشروع بناية سكنية للتملك الحر يقع في منطقة وادي الصفا الثانية. المشروع عبارة طابق ارضي + 6 طوابق مشيدة بهيكل خرساني مع الانهاءات الخارجية و الداخلية."
"تراخيص","ACTIVE","شركة نخيل (ش.م.خ)","100","عادي","مباني","478","ايكويتي جيتس","null","بنك ابوظبى التجارى","1","553864167","فعال","1219","143901975","2022-10-06","1","0","Down Town Jabal Ali","284","0","1","Jabal Ali Industrial Second","219353847","null","4","90","100","5","جبل علي الصناعية الثانية","2839","B+G+3P+14+R Residential+Retail,The project designed to have a concrete structure and block with internal and external finishes.","شركة نخيل (ش.م.خ)","Trakhees","null","دون تاون جبل علي","N/A"
"تراخيص","ACTIVE","النخلة  - ديره (ش.ذ.م.م)","1625","عادي","مباني","432","برج ماكريل","2026-04-01","بنك أبوظبي الأول ش.م.ع.","1","673057641","فعال","1921","604059364","2024-11-01","1","0","Palm Deira","62","0","1","Palm Deira","920087075","null","4","9","507602935","25","نخلة ديرة","3351","Residential Building (G+P+8+R).The project designed to have a concrete structure and block with internal and external finishes.","النخلة  - ديره (ش.ذ.م.م)","Trakhees","null","نخلة ديرة","N/A"
"دبي للجنوب","FINISHED","مركز دبي التجاري العالمي ش.ذ.م.م","834","عادي","مباني","462","ماج 5 بوليفارد","2020-02-06","بنك الإمارات دبي الوطني (ش.م.ع)","13","24754715","منجز","1079","22079740","2015-11-01","1","12","Dubai South Residential District","1452","0","1","Madinat Al Mataar","1219943961","null","5","100","834","7","مدينة المطار","1673","PROJECT CONSISTS OF 13 NOS. OF G+6 RESIDENTIAL BUILDINGS  LOCATED IN MADINAT AL MATAAR. THE BUILDINGS ARE DESIGNED TO HAVE A CONCRETE STRUCTURE AND BLOCK WITH INTERNAL AND EXTERNAL FINISHES.  ","مركز دبي التجاري العالمي ش.ذ.م.م","Dubai South","2020-02-06","المدينة السكنية بدبي الجنوب"," المشروع عبارة عن 13 مبنى سكني (أرضي+6)في منطقة مدينة المطار       التصميم مكون من خرسانة مسلحة و قواطع طوب و تشطيبات داخلية و خارجية  "
"سلطة دبي للتطوير","FINISHED","سيتي ووك ريزيدينشال 1 ش.ذ.م.م","1109","عادي","مباني","364","نو.1، نو.2 إيه، نو.2 بي و نو.3 إيه، نو.3 بي سيتي ووك ريزيدينشال","2017-02-07","نور بنك (مساهمة عامة)","5","27875224","منجز","1109","26581366","2013-05-18","1","0","City Walk","286","0","1","Al Wasl","1771981929","null","2","100","26581366","21","الوصل","1719","5 Buildings (B+G+6+R)/ Residential + Retail","سيتي ووك ريزيدينشال 1 ش.ذ.م.م","Dubai Development Authority (DDA)","2017-02-07","ستي ووك","عدد (5) مباني تجاري سكني سرداب + أرضي + 6 طوابق متكرر + سطح "
"سلطة دبي للتطوير","ACTIVE","إعمار للتطوير (مساهمة عامة)","1211","عادي","مجمع فلل","469","ذا فالي - فارم جروف 2","2028-10-31","بنك الإمارات دبي الوطني (ش.م.ع)","0","688752026","فعال","1211","137044480","2025-02-28","1","265","","0","290","3","Al Yufrah 1","365900074","null","2","1","137044480","7","اليفره 1","3431","Residential development consisting of 290 villas (G+2)    ","إعمار للتطوير (مساهمة عامة)","Dubai Development Authority (DDA)","null","","N/A"
"سلطة دبي للتطوير","ACTIVE","دى اتش ايه ام منطقه حره - ذ.م.م","914","عادي","مباني","332","ديزاين كوارتر","2027-02-25","بنك الإمارات دبي الوطني (ش.م.ع)","3","489582936","فعال","1510","452208509","2023-05-25","1","0","Business Park","558","0","1","Zaabeel Second","1969428567","null","2","14","914","7","زعبيل الثانيه","2607","Tower A:2B+G+33F+R,Tower B:2B+G+43F+R,Tower C:2B+G+10 F+R,Bldg A1-2B+G+7F+R,Bldg A2-2B+G+5F+R,Bldg A3-2B+G+5F+R,Bldg B1-2B+G+2F+R,Bldg B2-2B+G+2F+R.  The project designed to have a concrete structure and block with internal and external finishes.  	    ","دى اتش ايه ام منطقه حره - ذ.م.م","Dubai Development Authority (DDA)","2027-02-25","بزنس بارك","N/A"
"بلدية دبي","ACTIVE","إكسبو سيتي للتطوير العقاري ش م ح","1565","عادي","مباني","462","إكسبو سيتي الواحة ريزيدنسز 01","2027-06-15","بنك الإمارات دبي الوطني (ش.م.ع)","21","711087248","فعال","2197","708657483","2025-05-01","1","0","Dubai World Central","288","0","1","Madinat Al Mataar","550308562","null","1","47","484891588","7","مدينة المطار","3523","A full basement level constructed over the entire project footprint, along with three buildings comprising Ground Floor + First Floor + Roof: (Al Waha 03, Al Waha 10, Al Waha 20), seventeen buildings comprising Ground Floor + Two Floors + Roof: (Al Waha 01, Al Waha 02, Al Waha 04, Al Waha 05, Al Waha 06, Al Waha 07, Al Waha 08, Al Waha 09, Al Waha 11, Al Waha 12, Al Waha 13, Al Waha 14, Al Waha 15, Al Waha 16, Al Waha 17, Al Waha 18, Al Waha 19) & One building comprising Ground Floor + Three Floors + Roof: (Al Waha 21),   This brings the total number of buildings to 21, with a total of 284 residential units and 4 commercial spaces.   ","إكسبو سيتي للتطوير العقاري ش م ح","Dubai Municipality","null","دبي ورلد سنترال","طابق تسوية على كامل مساحة المشروع + عدد 3 مباني أرضي + أول + سطح ( الواحة 03 والواحة 10 والواحة 20 ) وعدد 17 مبنى أرضي + طابقين + سطح ( الواحة 01 والواحة 02 والواحة 04 والواحة 05 والواحة 06 والواحة 07 والواحة 08 والواحة 09 والواحة 11 والواحة 12 والواحة 13 والواحة 14 والواحة 15 والواحة 16 والواحة 17 والواحة 18 والواحة 19)- وعدد 1 مبنى أرضي + 3 طوابق + سطح ( الواحة 21 ).  بإجمالي عدد 21 مبنى وبعدد وحدات سكنية اجمالي 284 وحدة + 4 أماكن تجارية.  "
"تراخيص","FINISHED","الفرجان ( ش.ذ.م.م )","121","عادي","مباني","445","روي ميديتيرانيان للشقق الفندقية","2018-03-11","بنك ابوظبى التجارى","1","31016354","منجز","1002","12595870","2016-05-15","1","0","Al Furjan","273","0","1","Jabal Ali First","654552179","null","4","100","121","5","جبل علي الأولى","1762","PROJECT CONSISTS OF G+2P+7+R HOTEL APARTMENTS LOCATED IN JABAL ALI FIRST. THE APARTMENTS ARE DESIGNED TO HAVE A CONCRETE STRUCTURE AND BLOCK WITH INTERNAL AND EXTERNAL FINISHES.","الفرجان ( ش.ذ.م.م )","Trakhees","2018-01-31","الفرجان",".G+2P+7+R المشروع عبارة عن شقق فندقية في منطقة جبل علي الأولى مكونة من   التصميم مكون من خرسانة مسلحة و قواطع طوب و تشطيبات داخلية و خارجية  "
"تراخيص","FINISHED","شركة نخيل (ش.م.خ)","100","عادي","مباني","445","مسكن نادين 2","null","بنك المشرق (شركة مساهمة عامة)","1","531714602","منجز","1596","499796797","2023-08-01","1","0","Al Furjan","102","0","1","Jabal Ali First","1302500439","null","4","100","100","33","جبل علي الأولى","2749","Residential Building (UG+G+P+10+R)","شركة نخيل (ش.م.خ)","Trakhees","null","الفرجان","بناء سكني مؤلف من طابق تحت الارض وطابق ارضي وطابق مواقف واحد وطوابق سكنية عدد عشرة وسطح"
"سلطة دبي للتطوير","FINISHED","اعمار العقارية (ش . م. ع)","555","عادي","مباني","390","امبيريال افنيو","2023-10-30","بنك ابوظبى التجارى","1","35238007","منجز","1150","33217787","2016-09-21","1","0","DownTown Dubai","431","0","1","Burj Khalifa","238095910","null","2","100","555","5","برج خليفة","1811","B+G+5P+40+2R Residential+Commercal,The project designed to have a concrete structure and block with internal and external finishes.","اعمار العقارية (ش . م. ع)","Dubai Development Authority (DDA)","2019-12-07","داون تاون دبي","N/A"
"تراخيص","ACTIVE","قرية جميرا (ش.ذ.م.م)","102","عادي","مباني","442","سونيت ريزيدنسيز باي كوندور","null","بنك ابوظبى التجارى","1","576549994","فعال","1772","559819387","2024-03-06","1","0","Jumeirah Village Triangle","185","0","1","Al Barsha South Fifth","185819819","null","4","17","102","5","البرشاء جنوب الخامسة","2923","B+G+4P+27+R Mixed Use (Residential + Retail) Building. The project designed to have a concrete structure and block with internal and external finishes.","قرية جميرا (ش.ذ.م.م)","Trakhees","null","قرية جميرا المثلثة","N/A"
"سلطة واحة دبي للسيليكون","FINISHED","سلطة دبي للمناطق الإقتصادية المتكاملة","344","عادي","مباني","484","توباز ريزيدينسيس 3","2020-01-20","بنك دبي الاسلامي (شركة مساهمة عامة)","1","21377043","منجز","285","285","2014-06-05","1","0","Silicon Oasis","112","0","1","Nadd Hessa","1809968094","null","3","100","344","1","ند حصة","1653","PROPOSED G+08+H.C FLOORS RESIDENTIAL ON PLOT NO.1206 AT NADD HESSA, DUBAI. BUILDING CONSIST OF CONCRETE STRUCTURE WITH INTERNAL AND EXTERNAL FINISHES. ","سلطة دبي للمناطق الإقتصادية المتكاملة","Dubai Silicon Oasis Authority","2020-01-20","واحة السيليكون","    (G+8+H.C) بناية سكنية تقع في ند حصة على أرض رقم 1206 مكونه من     مع التشطيبات الداخلية والخارجية"
"سلطة دبي للتطوير","ACTIVE","الخليج التجاري (ش.ذ.م.م)","898","عادي","مباني","526","ريجنت ريزيدنسز دبى سنكرى بليس","2027-12-31","بنك المشرق (شركة مساهمة عامة)","2","564313379","فعال","1695","534293211","2024-07-01","1","0","Business Bay","65","0","1","Business Bay","1631472754","null","2","1","898","33","الخليج التجارى","2876","2B + G + 2 Podium + 32 Floors + Roof.The project designed to have a concrete structure and block with internal and external finishes.","الخليج التجاري (ش.ذ.م.م)","Dubai Development Authority (DDA)","null","الخليج التجاري","N/A"
"بلدية دبي","PENDING","اعمار العقارية (ش . م. ع)","555","عادي","مباني","390","جراند بوليفارد","null","","0","1465","قيد التسجيل","555","555","null","1","0","DownTown Dubai","0","0","1","Burj Khalifa","1744291917","null","1","null","555","null","برج خليفة","1465","","اعمار العقارية (ش . م. ع)","Dubai Municipality","null","داون تاون دبي",""
"تراخيص","FINISHED","قرية جميرا (ش.ذ.م.م)","102","عادي","مباني","441","أفانوس","2023-11-01","بنك أبوظبي الأول ش.م.ع.","1","377175223","منجز","1074","21223993","2021-11-01","1","0","Jumeirah Village Circle","96","0","1","Al Barsha South Fourth","1617992785","null","4","100","102","19","البرشاء جنوب الرابعة","2301","Residential Building (G+P+4+R) with Swimming Pool @ 1st Floor","قرية جميرا (ش.ذ.م.م)","Trakhees","2023-11-01","قرية جميرا الدائرية","     مع حمام سباحة في الطابق الأول  ( G+P+4+R) بناية سكنية "
"سلطة دبي للتطوير","FINISHED","داماك كريسنت للعقارات (ش.ذ.م.م)","954","عادي","فلل","523","داماك هيلز - بيكاديلي جرين","2018-02-14","بنك ابوظبى التجارى","0","8546559","منجز","954","8289244","2013-07-01","1","166","DAMAC HILLS","0","161","2","Al Hebiah Third","1323087753","null","2","100","8289244","5","الحبية الثالثة","1357","Project consists of 163 freehold G+1 villas located in Dubailand. The villas are designed to have a concrete structure and block with internal and external finishes.","داماك كريسنت للعقارات (ش.ذ.م.م)","Dubai Development Authority (DDA)","2018-02-14","داماك هيليز","المشروع يقع في منطقة دبي لاند مكون من 163 فيلا من طابقين  أرضي + أول . التصميم مكون من خرسانة مسلحة و قواطع طوب و تشطيبات داخلية و خارجية ."
"سلطة واحة دبي للسيليكون","FINISHED","سلطة دبي للمناطق الإقتصادية المتكاملة","344","عادي","مباني","484","لي بريزديم","2016-08-17","بنك دبي الاسلامي (شركة مساهمة عامة)","2","910","منجز","356","356","2008-10-05","1","0","Silicon Oasis","200","0","1","Nadd Hessa","1483752508","null","3","100","344","1","ند حصة","910","Freehold residential building located in Dubai Silicon Oasis, plot # 626-192. The building is designed as a 2B(common)+ 2 towers each:G+11+HC. The building is to be constructed out of a concrete structure with its external and internal finishes.","سلطة دبي للمناطق الإقتصادية المتكاملة","Dubai Silicon Oasis Authority","2016-08-17","واحة السيليكون","مبنى سكني للتملك الحر يقع في منطقة ند حصا (واحة دبي للسيليكون ) على ارض رقم 192-626 .والمبنى مصصم من (سردابين مشتركين+برجين,كل برج عبارة عن : طابق ارضي+11 طابق+ نادي صحي), والمبنى مصمم من الخرسانة المسلحة مع التشطيبات الداخلية والخارجية."
"دبي للجنوب","ACTIVE","مؤسسه مدينه دبى للطيران","996","عادي","مباني","462","بلينج افينو 1","2026-07-28","يونايتد بنك ليمتد (مكتب  ادارة)","1","725769310","فعال","2179","699944074","2024-10-28","1","0","Dubai South Residential District","40","0","1","Madinat Al Mataar","1322710408","null","5","37","11808939","31","مدينة المطار","3582","G+4+R Residential Building.The project designed to have a concrete structure and block with internal and external finishes.","مؤسسه مدينه دبى للطيران","Dubai South","null","المدينة السكنية بدبي الجنوب","N/A"
"تراخيص","PENDING","مدينة دبي الملاحية م م ح","858","عادي","مباني","333","ال فينتو","2029-09-30","Procedure Participant Ar","0","793954686","قيد التسجيل","1961","622004308","2025-09-30","1","0","Dubai Maritime City","0","0","1","Madinat Dubai Almelaheyah","1974328227","null","4","0","858","11420066","مدينة دبي الملاحية","4003","3B+G+5P+40+R","مدينة دبي الملاحية م م ح","Trakhees","null","مدينة دبي الملاحية","3B+G+5P+40+R"
"سلطة دبي للتطوير","ACTIVE","هاربور العقارية ذ.م.م","1581","عادي","مباني","330","داماك باي 2","null","بنك الإمارات دبي الوطني (ش.م.ع)","2","499507686","فعال","1583","494446214","2023-07-01","1","0","Dubai Harbour","646","0","1","Marsa Dubai","1258235876","null","2","14","493275321","7","مرسى دبي","2644","2 Towers of B+G+4P+25,Residential+Retail.The project designed to have a concrete structure and block with internal and external finishes.","هاربور العقارية ذ.م.م","Dubai Development Authority (DDA)","null","دبي هاربر","N/A"
